LISTA_SETOR,SUBSETOR,ITEM_CHECKLIST,DESC_EVEREST,EST_MIN,U.M.
DELIVERY,MATERIAIS DE PRIMEIRO USO,EMB GALVANOTEK COPO 60ML (UNID),EMB GALVANOTEK COPO 60ML,700,UNID
DELIVERY,MATERIAIS DE PRIMEIRO USO,EMB KIT GARFO (UNID),EMB KIT GARFO,200,UNID
DELIVERY,MATERIAIS DE PRIMEIRO USO,EMB P/ BATATA FRITA (UNID),EMB P/ BATATA FRITA,400,UNID
DELIVERY,MATERIAIS DE PRIMEIRO USO,EMB P/ VIAGEM (UNID),EMB P/ VIAGEM,200,UNID
DELIVERY,MATERIAIS DE PRIMEIRO USO,EMB SACO KRAFT (UNID),EMB SACO KRAFT,800,UNID
DELIVERY,MATERIAIS DE PRIMEIRO USO,EMB SACO KRAFT PEQUENO (UNID),EMB SACO KRAFT PEQUENO,600,UNID
DELIVERY,MATERIAIS DE PRIMEIRO USO,EMB SALADA 1000ML TRANSPARENTE (UNID),EMB SALADA 1000ML TRANSPARENTE,200,UNID
DELIVERY,MATERIAIS DE PRIMEIRO USO,EMB SALADA 500ML TRANSPARENTE (UNID),EMB SALADA 500ML TRANSPARENTE,240,UNID
DELIVERY,SECOS,MP BARCA SHOYU (UNID),MP BARCA SHOYU,300,UNID
DELIVERY,SECOS,MP BARCA TARE (UNID),MP BARCA TARE,120,UNID
DELIVERY,SECOS,MP MOLHO TARE (LITRO),MP MOLHO TARE,5,LITRO
DELIVERY,SECOS,MP SACHE ACUCAR CAIXA (UNID),MP SACHE ACUCAR CAIXA,1,UNID
DELIVERY,SECOS,MP SACHE ADOCANTE CAIXA (UNID),MP SACHE ADOCANTE CAIXA,1,UNID
DELIVERY,SECOS,MP SACHE KETCHUP CAIXA (UNID),MP SACHE KETCHUP CAIXA,1,UNID
DELIVERY,SECOS,MP SACHE MOSTARDA CAIXA (UNID),MP SACHE MOSTARDA CAIXA,1,UNID
DELIVERY,SECOS,MP SACHE PALITO CAIXA (UNID),MP SACHE PALITO CAIXA,1,UNID
DELIVERY,SECOS,MP SACHE SAL CAIXA (UNID),MP SACHE SAL CAIXA,1,UNID
DELIVERY,SECOS,MP SACHE WASABI PACOTE (UNID),MP SACHE WASABI PACOTE,1,UNID
HORTIFRUTI,HORTIFRUTI,HORT ABACATE KG (KG),HORT ABACATE KG,13,KG
HORTIFRUTI,HORTIFRUTI,HORT ABACAXI (UNID),HORT ABACAXI,41,UNID
HORTIFRUTI,HORTIFRUTI,HORT ABOBORA CABOTIA KG (KG),HORT ABOBORA CABOTIA KG,40,KG
HORTIFRUTI,HORTIFRUTI,HORT ABOBRINHA KG (KG),HORT ABOBRINHA KG,16,KG
HORTIFRUTI,HORTIFRUTI,HORT ACELGA MACO (UNID),HORT ACELGA MACO,3,UNID
HORTIFRUTI,HORTIFRUTI,HORT ALECRIM MACO (UNID),HORT ALECRIM MACO,3,UNID
HORTIFRUTI,HORTIFRUTI,HORT ALHO DESCASCADO KG (KG),HORT ALHO DESCASCADO KG,4,KG
HORTIFRUTI,HORTIFRUTI,HORT ALHO PORO MACO (UNID),HORT ALHO PORO MACO,36,UNID
HORTIFRUTI,HORTIFRUTI,HORT BANANA NANICA KG (KG),HORT BANANA NANICA KG,14,KG
HORTIFRUTI,HORTIFRUTI,HORT BATATA BOLINHA KG (KG),HORT BATATA BOLINHA KG,14,KG
HORTIFRUTI,HORTIFRUTI,HORT BATATA DOCE KG (KG),HORT BATATA DOCE KG,9,KG
HORTIFRUTI,HORTIFRUTI,HORT BATATA INGLESA KG (KG),HORT BATATA INGLESA KG,17,KG
HORTIFRUTI,HORTIFRUTI,HORT BERINGELA KG (KG),HORT BERINGELA KG,16,KG
HORTIFRUTI,HORTIFRUTI,HORT BETERRABA KG (KG),HORT BETERRABA KG,3,KG
HORTIFRUTI,HORTIFRUTI,HORT BROTO DE FEIJAO KG (KG),HORT BROTO DE FEIJAO KG,5,KG
HORTIFRUTI,HORTIFRUTI,HORT CEBOLA BRANCA KG (KG),HORT CEBOLA BRANCA KG,20,KG
